,location,date,flood_id,flood_day,72hr_precip
10,Quang Tri,2010-10-01,1,0.0,"[0.9, 2.6, 1.5, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.4, 0.1, 0.2, 1.8, 0.2, 0.4, 0.3, 0.3, 0.7, 0.6, 0.8, 1.7, 2.69, 0.7, 0.4, 0.3, 0.7, 0.7, 0.6, 0.5, 0.4, 0.9, 0.6, 2.1, 5.8, 1.7, 0.9, 0.7, 1.6, 0.5, 1.87, 0.3, 0.4, 0.5, 0.5, 1.57, 2.93, 0.7, 1.0, 1.0, 1.0, 0.4, 1.35, 0.9, 1.9, 1.7, 0.5, 1.5, 1.0, 0.6, 1.0, 1.2, 5.1, 2.4, 1.4, 0.7, 0.8, 1.0, 0.5, 1.7]"
11,Quang Tri,2010-10-02,1,1.0,"[2.69, 0.7, 0.4, 0.3, 0.7, 0.7, 0.6, 0.5, 0.4, 0.9, 0.6, 2.1, 5.8, 1.7, 0.9, 0.7, 1.6, 0.5, 1.87, 0.3, 0.4, 0.5, 0.5, 1.57, 2.93, 0.7, 1.0, 1.0, 1.0, 0.4, 1.35, 0.9, 1.9, 1.7, 0.5, 1.5, 1.0, 0.6, 1.0, 1.2, 5.1, 2.4, 1.4, 0.7, 0.8, 1.0, 0.5, 1.7, 2.72, 1.7, 2.5, 1.6, 2.0, 1.9, 1.9, 1.7, 1.2, 1.4, 1.0, 2.0, 2.9, 0.9, 2.8, 1.9, 1.3, 1.6, 3.1, 2.8, 1.9, 2.1, 2.2, 4.15]"
12,Quang Tri,2010-10-03,1,2.0,"[2.93, 0.7, 1.0, 1.0, 1.0, 0.4, 1.35, 0.9, 1.9, 1.7, 0.5, 1.5, 1.0, 0.6, 1.0, 1.2, 5.1, 2.4, 1.4, 0.7, 0.8, 1.0, 0.5, 1.7, 2.72, 1.7, 2.5, 1.6, 2.0, 1.9, 1.9, 1.7, 1.2, 1.4, 1.0, 2.0, 2.9, 0.9, 2.8, 1.9, 1.3, 1.6, 3.1, 2.8, 1.9, 2.1, 2.2, 4.15, 5.15, 2.0, 3.7, 2.8, 2.9, 2.9, 1.8, 1.1, 2.9, 3.7, 3.1, 2.2, 1.9, 5.2, 5.4, 7.1, 4.2, 2.3, 3.0, 3.7, 5.3, 4.91, 3.1, 4.18]"
13,Quang Tri,2010-10-04,1,3.0,"[2.72, 1.7, 2.5, 1.6, 2.0, 1.9, 1.9, 1.7, 1.2, 1.4, 1.0, 2.0, 2.9, 0.9, 2.8, 1.9, 1.3, 1.6, 3.1, 2.8, 1.9, 2.1, 2.2, 4.15, 5.15, 2.0, 3.7, 2.8, 2.9, 2.9, 1.8, 1.1, 2.9, 3.7, 3.1, 2.2, 1.9, 5.2, 5.4, 7.1, 4.2, 2.3, 3.0, 3.7, 5.3, 4.91, 3.1, 4.18, 4.78, 2.2, 3.0, 3.5, 2.7, 3.3, 3.8, 5.4, 6.3, 4.8, 2.0, 1.4, 1.4, 1.5, 2.3, 3.2, 4.1, 5.8, 2.4, 2.2, 1.3, 0.9, 0.7, 4.98]"
14,Quang Tri,2010-10-05,1,4.0,"[5.15, 2.0, 3.7, 2.8, 2.9, 2.9, 1.8, 1.1, 2.9, 3.7, 3.1, 2.2, 1.9, 5.2, 5.4, 7.1, 4.2, 2.3, 3.0, 3.7, 5.3, 4.91, 3.1, 4.18, 4.78, 2.2, 3.0, 3.5, 2.7, 3.3, 3.8, 5.4, 6.3, 4.8, 2.0, 1.4, 1.4, 1.5, 2.3, 3.2, 4.1, 5.8, 2.4, 2.2, 1.3, 0.9, 0.7, 4.98, 7.21, 4.16, 5.08, 6.51, 3.51, 5.93, 6.71, 3.66, 0.7, 0.5, 0.4, 1.4, 1.1, 0.3, 0.6, 1.79, 0.2, 2.3, 2.92, 1.43, 1.4, 1.87, 0.0, 1.8]"
15,Quang Tri,2010-10-06,1,5.0,"[4.78, 2.2, 3.0, 3.5, 2.7, 3.3, 3.8, 5.4, 6.3, 4.8, 2.0, 1.4, 1.4, 1.5, 2.3, 3.2, 4.1, 5.8, 2.4, 2.2, 1.3, 0.9, 0.7, 4.98, 7.21, 4.16, 5.08, 6.51, 3.51, 5.93, 6.71, 3.66, 0.7, 0.5, 0.4, 1.4, 1.1, 0.3, 0.6, 1.79, 0.2, 2.3, 2.92, 1.43, 1.4, 1.87, 0.0, 1.8, 2.4, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,Hue,2010-09-29,2,-2.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.6, 0.0, 0.0, 0.2, 0.2, 0.4, 0.5, 0.0, 1.6, 2.0, 1.3, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.1, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.2, 0.0, 0.0, 0.3, 0.3, 0.2, 0.2, 0.9, 2.6, 1.5, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.4, 0.1, 0.2, 1.8, 0.2, 0.4, 0.3, 0.3, 0.7, 0.6, 0.8, 1.7]"
17,Hue,2010-09-30,2,-1.0,"[0.1, 0.0, 0.2, 0.0, 0.1, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.2, 0.0, 0.0, 0.3, 0.3, 0.2, 0.2, 0.9, 2.6, 1.5, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.4, 0.1, 0.2, 1.8, 0.2, 0.4, 0.3, 0.3, 0.7, 0.6, 0.8, 1.7, 2.69, 0.7, 0.4, 0.3, 0.7, 0.7, 0.6, 0.5, 0.4, 0.9, 0.6, 2.1, 5.8, 1.7, 0.9, 0.7, 1.6, 0.5, 1.87, 0.3, 0.4, 0.5, 0.5, 1.57]"
18,Hue,2010-10-01,2,0.0,"[0.9, 2.6, 1.5, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.4, 0.1, 0.2, 1.8, 0.2, 0.4, 0.3, 0.3, 0.7, 0.6, 0.8, 1.7, 2.69, 0.7, 0.4, 0.3, 0.7, 0.7, 0.6, 0.5, 0.4, 0.9, 0.6, 2.1, 5.8, 1.7, 0.9, 0.7, 1.6, 0.5, 1.87, 0.3, 0.4, 0.5, 0.5, 1.57, 2.93, 0.7, 1.0, 1.0, 1.0, 0.4, 1.35, 0.9, 1.9, 1.7, 0.5, 1.5, 1.0, 0.6, 1.0, 1.2, 5.1, 2.4, 1.4, 0.7, 0.8, 1.0, 0.5, 1.7]"
19,Hue,2010-10-02,2,1.0,"[2.69, 0.7, 0.4, 0.3, 0.7, 0.7, 0.6, 0.5, 0.4, 0.9, 0.6, 2.1, 5.8, 1.7, 0.9, 0.7, 1.6, 0.5, 1.87, 0.3, 0.4, 0.5, 0.5, 1.57, 2.93, 0.7, 1.0, 1.0, 1.0, 0.4, 1.35, 0.9, 1.9, 1.7, 0.5, 1.5, 1.0, 0.6, 1.0, 1.2, 5.1, 2.4, 1.4, 0.7, 0.8, 1.0, 0.5, 1.7, 2.72, 1.7, 2.5, 1.6, 2.0, 1.9, 1.9, 1.7, 1.2, 1.4, 1.0, 2.0, 2.9, 0.9, 2.8, 1.9, 1.3, 1.6, 3.1, 2.8, 1.9, 2.1, 2.2, 4.15]"
