Year,Disaster Type,Disaster Subtype,Country,Location,Origin,Associated Dis,Dis Mag Value (Km2),River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations
2007,Flood,Riverine flood,Viet Nam,"Thua Thien - Hue, Quang Ngai, Quang Tri, Quang Nam provinces",Heavy rains,,24810,Huong,2007,10,14,2007,10,24,15,,22000,,22000,10000,14115,70.8487927,"Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1)."
2007,Flood,Riverine flood,Viet Nam,"Thua Thien-Hue, Quang Ngai, Quang Nam, Quan Binh provinces",Heavy rain,,35110,"Thu Bon, Vu Gia, O Lau, Thach Han, Kien Giang",2007,10,28,2007,11,9,83,42,94000,,94042,300000,423437,70.8487927,"Quang Binh, Quang Nam, Quang Ngai, Thua Thien - Hue (Adm1)."
2007,Flood,,Viet Nam,"Dong Thap, An Giang, Kien Giang provinces",Heavy rain,,46470,"Mekong, Tien, Hau",2007,10,20,2007,11,2,3,,280000,,280000,,,70.8487927,"An Giang, Dong Thap, Kien Giang (Adm1)."
2008,Flood,Flash flood,Viet Nam,"Nghe An, Thua Thien-Hue, Quang Tri, Quang Nam, Quang Ngai, Thanh Hoa provinces",Storm and heavy vrain,"Slide (land, mud, snow, rock)",39090,,2008,10,19,2008,10,20,29,4,12000,,12004,4000,5437,73.56874554,"Nghe An, Quang Nam, Quang Ngai, Quang Tri, Thanh Hoa, Thua Thien - Hue (Adm1)."
2008,Flood,Riverine flood,Viet Nam,Ha Giang province,Heavy rains,"Slide (land, mud, snow, rock)",,,2008,8,26,2008,8,28,16,,,,,,,73.56874554,Ha Giang (Adm1).
2008,Flood,Riverine flood,Viet Nam,"Thai Nguyen, Vinh Phuc, Hoa Binh, Ninh Binh, Thanh Hoa, Nghe An, Ha Tinh, Quang Binh, Ha Nam, Ha Noi City provinces",Heavy rains,"Slide (land, mud, snow, rock)",74590,,2008,10,27,2008,11,4,99,,600000,,600000,479000,651092,73.56874554,"Ha Nam, Ha Noi City, Ha Tinh, Hoa Binh, Nghe An, Ninh Binh, Quang Binh, Thai Nguyen, Thanh Hoa, Vinh Phuc (Adm1)."
2008,Flood,Flash flood,Viet Nam,"Dac Ngo village (Tuy Duc area, Dak R'Lap district, Dak Nong province)",Heavy rains,,5300,,2008,5,11,2008,5,12,4,,500,,500,,,73.56874554,Dak R'Lap (Adm2).
2008,Flood,Riverine flood,Viet Nam,"Phu Yen, Binh Dinh, Quang Binh, Quang Nam provinces",Heavy rain,,29580,,2008,12,25,2009,1,5,9,,20000,,20000,,,73.56874554,"Binh Dinh, Phu Yen, Quang Binh, Quang Nam (Adm1)."
2009,Flood,Riverine flood,Viet Nam,"Bac Kan, Cao Bang, Ha Giang, Lai Chau provinces",Heavy rains,,69860,,2009,7,3,2009,7,6,20,,700000,,700000,,,73.30717672,"Bac Kan, Cao Bang, Ha Giang, Lai Chau (Adm1)."
2009,Flood,Riverine flood,Viet Nam,"Binh Dinh, Da Nang City, Gia Lai, Ha Tinh, Kon Tum, Nghe An, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue provinces",Heavy rain,,47600,,2009,9,25,2009,9,28,17,,40000,,40000,,,73.30717672,"Binh Dinh, Da Nang City, Gia Lai, Ha Tinh, Kon Tum, Nghe An, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1)."
