Year,Disaster Type,Disaster Subtype,Country,Location,Origin,Associated Dis,Dis Mag Value (Km2),River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Geo Locations
1992,Flood,Coastal flood,Viet Nam,"Quang Binh, Quang Tri provinces",Tropical cyclone,,,,1992,10,28,1992,10,31,1,,58000,,58000,,,47.94612964,
1992,Flood,Riverine flood,Viet Nam,"Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien-Hue, Quang Nam-Da Nang provinces",Heavy rain,,569,,1992,10,5,1992,10,9,55,10,44109,7579,51698,47700,99487,47.94612964,
1993,Flood,Flash flood,Viet Nam,"Phu Yen, Lam Dong, Quang Tri, Da Nang, Khanh Hoa, Binh Dinh, Darlac and Binh Thuan provinces",Brief torrential rain,,29440,"Phan Thiet, Muong Man River",1993,10,2,1993,10,12,64,,15000,,15000,10000,20259,49.36133216,
1994,Flood,Riverine flood,Viet Nam,"Dong Thap, An Giang, Long An, Tien Giang, Kien Giang, Can Tho, Nghe An, Thanh Hoa provinces",Monsoonal rain,,65260,Mekong,1994,9,4,1994,12,18,310,,382000,,382000,206000,406726,50.64840266,
1995,Flood,Riverine flood,Viet Nam,"Quang Binh, Quang Tri, Kegalle, Da Nang, Dong Thap, Dong Thap, Kien Gang, An Giang, Tien Giang, Vinh Long, Can Tho provinces",Heavy rain,,123000,"Mekong, Perfume",1995,9,21,1995,10,19,253,,400000,,400000,86000,165165,52.06929869,
1996,Flood,Riverine flood,Viet Nam,"An Giang, Dong Thap, Tay Minh, Long An, Tien Giang, Kien Giang, Can Tho, Vinh Long provinces",Heavy rain,,22610,Mekong,1996,10,1,1996,11,13,162,,375000,,375000,138000,257484,53.59556085,
1996,Flood,,Viet Nam,"Thua Thien-Hue, Quang Nam-Da Nang, Quang Tri, Quang Ngai, Binh Dinh, Kon Tum",,,,,1996,9,14,1996,9,19,60,,,,,13400,25002,53.59556085,
1998,Flood,Riverine flood,Viet Nam,"Khan Hoa, Binh Dinh, Quang Ngai, Phu Yen, Ninh Thuan",Heavy rain,,110,,1998,10,16,1998,10,23,45,5,31030,1470,32505,13700,24596,55.69986281,
1999,Flood,Flash flood,Viet Nam,"Binh Thuan, Lam Dong, Dac Lac and Dong Nai",Brief torrential rain,"Slide (land, mud, snow, rock)",500,,1999,7,24,1999,8,5,40,,106885,8290,115175,19500,34259,56.91858704,
1999,Flood,Coastal flood,Viet Nam,"Da Nang, Quang Nam, Thanh Hoa, Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien Hue, Quang Ngai, Binh Dinh",Tropical cyclone,,947,,1999,10,25,1999,11,9,622,412,3414000,90000,3504412,237000,416384,56.91858704,
1999,Flood,Riverine flood,Viet Nam,"Thua Thien Hue, Khanh Hoa, Phu Yen, Binh Dinh, Quang Ngai, Quang Nam, Danang and Khanh Hoa.",Heavy rain,,288,Thu Hong,1999,12,2,1999,12,10,127,164,2118265,45265,2163694,53000,93115,56.91858704,
2000,Flood,Riverine flood,Viet Nam,"Long An, Dong Thap, An Giang, Kien Giang, Can Tho city, Vinh Long, Tien Giang provinces",,,1400,,2000,7,,2000,11,,460,4,5000000,,5000004,250000,424876,58.84064849,"An Giang, Can Tho city, Dong Thap, Kien Giang, Long An, Tien Giang, Vinh Long (Adm1)."
2000,Flood,Riverine flood,Viet Nam,"Quang Nam, Khanh Hoa, Phu Yen, Ninh Thuan, Binh Thuan, Quang Ngai, Binh Dinh, Quang Tri, Thua Thien-Hue provinces",,,49140,,2000,11,18,2000,11,26,36,3,25000,,25003,15000,25493,58.84064849,"Binh Dinh, Binh Thuan, Khanh Hoa, Ninh Thuan, Phu Yen, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1)."
2001,Flood,Coastal flood,Viet Nam,Thu Duc district (Ho Chi Minh City province),,,,,2001,11,4,2001,11,4,,,3000,,3000,,,60.50357889,Thu Duc (Adm2).
2001,Flood,Flash flood,Viet Nam,"Quang Nam, Quang Ngai, Ha Tinh, Nghe An, Quang Tri, Phu Yen provinces",Brief torrential rain,,72000,,2001,10,20,2001,10,24,20,6,35000,,35006,4700,7768,60.50357889,"Ha Tinh, Nghe An, Phu Yen, Quang Nam, Quang Ngai, Quang Tri (Adm1)."
2001,Flood,Riverine flood,Viet Nam,"Long An, Dong Thap, An Giang, Can Tho city, Phu Tho, Kien Giang, Tien Giang, Vinh Long, Soc Trang, Tra Vinh, Ben Tre provinces",Monsoonal rain,,745,"Mekong, Tien and Hau",2001,8,15,2001,11,19,310,,1570270,,1570270,84000,138835,60.50357889,"An Giang, Ben Tre, Can Tho city, Dong Thap, Kien Giang, Long An, Phu Tho, Soc Trang, Tien Giang, Tra Vinh, Vinh Long (Adm1)."
2001,Flood,,Viet Nam,"Tien Yen, Dong Trieu, Hoanh Bo districts (Quang Ninh province)",,,,,2001,6,30,2001,6,30,9,,175,,175,,,60.50357889,"Dong Trieu, Hoanh Bo, Tien Yen (Adm2)."
2002,Flood,Riverine flood,Viet Nam,"Lai Chau, Lao Cai, Ha Giang, Tuyen Quang, Bac Kan, Son La, Lam Dong provinces",Heavy rain,,27820,"Hong, Thai Binh, Lo.",2002,7,31,2002,8,6,10,,2000,,2000,2200,3579,61.46318826,"Bac Kan, Ha Giang, Lai Chau, Lam Dong, Lao Cai, Son La, Tuyen Quang (Adm1)."
2002,Flood,Riverine flood,Viet Nam,"Long An, Dong Thap, An Giang provinces",,,,,2002,9,,2002,9,,82,,1138200,,1138200,23900,38885,61.46318826,"An Giang, Dong Thap, Long An (Adm1)."
2002,Flood,Riverine flood,Viet Nam,"Ha Tinh, Nghe An provinces",Heavy rain,,19980,La River,2002,9,20,2002,9,30,55,116,291500,,291616,58000,94365,61.46318826,"Ha Tinh, Nghe An (Adm1)."
2003,Flood,Riverine flood,Viet Nam,"Ninh Thuan, Binh Dinh, Phu Yen, Khanh Hoa, Quang Nam, Dak Lak provinces",Torrential rains,"Slide (land, mud, snow, rock)",362,"Phan Rang river, Kon river",2003,11,11,2003,11,14,61,34,185135,8880,194049,35000,55681,62.8584595,"Binh Dinh, Dak Lak, Khanh Hoa, Ninh Thuan, Phu Yen, Quang Nam (Adm1)."
2003,Flood,Coastal flood,Viet Nam,"Quang Ngai, Quang Nam, Binh Dinh, Quang Tri, Phu Yen, Thua Thien Hue provinces","Tropical monsoon rain, cold depression",,10630,"Kon, Lai Giang and La Tinh",2003,10,15,2003,10,22,52,29,216745,5000,221774,32000,50908,62.8584595,"Binh Dinh, Phu Yen, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1)."
2003,Flood,Riverine flood,Viet Nam,"Nghe An, Thai Binh, Nam Dinh, Lao Cai, Ha Tinh provinces",Torrential rain,,31350,"Song Con, Thai Binh",2003,9,10,2003,9,14,15,,1000,,1000,38000,60453,62.8584595,"Ha Tinh, Lao Cai, Nam Dinh, Nghe An, Thai Binh (Adm1)."
2004,Flood,Flash flood,Viet Nam,"Du Tien, Du Gia villages (Yen Minh district, Ha Giang province), Bao Lam district (Cao Bang province)",Heavy rains,"Slide (land, mud, snow, rock)",12020,"Hong, Luc Nam, Thuong and Thai Binh rivers and tributaries, Red River Delta",2004,7,18,2004,7,28,53,18,,,18,8000,12395,64.54132928,"Bao Lam, Yen Minh (Adm2)."
2004,Flood,Riverine flood,Viet Nam,"An Giang, Vinh Long, Dong Thap, Long An, Can Tho city, Kien Giang provinces",Monsoonal rain,Rain,47760,"Mekong (Cuu Long), Tien River",2004,8,24,2004,10,21,34,,30000,,30000,,,64.54132928,"An Giang, Can Tho city, Dong Thap, Kien Giang, Long An, Vinh Long (Adm1)."
2004,Flood,Riverine flood,Viet Nam,"Mai Son, Bac Yen, Song Ma districts (Son La province)",Heavy rain,,3300,,2004,4,16,2004,4,17,9,,5000,,5000,,,64.54132928,"Bac Yen, Mai Son, Song Ma (Adm2)."
